ID;NOMBRE;NACION;TIPO;AUTONOMIA;CANTIDAD
1;Ejercito regular;Dormenia;Infanteria_ligera;Alta;40000
2;Legion del sur;Dormenia;Infanteria_media_de_asalto;Casi_completa;10000
3;Caballería pesada regular;Dormenia;Caballeria_pesada_de_asalto;Baja;1500
4;Defensores de puesto avanzado;Harrassia;Infanteria_ligera;Alta;2300
5;Carsij;Harrassia;Caballeria_pesada_de_asalto;Alta;700
6;Hermanos iluminados;Dormenia;Infanteria_media;Completa;800
7;Furias;Najshet;Infanteria_ligera;Desconocida;5430
8;Guardia real;Dormenia;Infanteria_pesada;Baja;800
9;Caballería ligera regular;Dormenia;Caballeria_ligera;Baja;1000
10;Primera cohorte;Eride;Infanteria_pesada;Completa;950
11;Segunda cohorte;Eride;Infanteria_ligera;Completa;900
12;Tercera cohorte;Eride;Infanteria_ligera;Completa;1100
13;Cuarta cohorte;Eride;Infanteria_mixta;Completa;4500
14;Quinta cohorte;Eride;Infanteria_ligera;Completa;900
15;Sexta cohorte;Eride;Infanteria_pesada;Completa;950
16;Septima cohorte;Eride;Infanteria_ligera;Completa;1000
17;Octava cohorte;Eride;Infanteria_de_soporte;Completa;850
18;Novena cohorte;Eride;Infanteria_ligera;Completa;900
19;Caballería sariana;Harrassia;Caballeria_ligera;Alta;2000
20;Zobagar adia;Tirtie;Infanteria_ligera;Completa;800
21;Zobagar Zitakoda;Tirtie;Mulenevor;Completa;80
22;Zobagar Urke;Tirtie;Infanteria_ligera;Completa;600
23;Exaltados de Armurésevor;Tirtie;Infanteria_ligera;Alta;400
24;Guerreros del clan del oso;Gunear;Infanteria_media;Aceptable;1240
25;Milicia del clan de la orca;Gunear;Infanteria_media;Baja;4000
26;Caballería del clan del carnero;Gunear;Caballeria_media;Casi_completa;500
27;Exploradores del clan del águila;Gunear;Arqueria_ligera;Completa;1000
28;Leva del clan del lobo;Gunear;Infanteria_media;Moderada;9840
29;Guardia del heredero;Najshet;Infanteria_media;Poca;1350
30;Tahlaned de la serpiente;Tribus;Infanteria_ligera;Completa;800
31;Tahlaned del antílope;Tribus;Caballeria_ligera;Completa;700
32;Tahlaned de la iguana;Tribus;Infanteria_ligera;Completa;500
33;Tahlaned de la araña;Tribus;Infanteria_ligera;Completa;600
34;Tahlaned del escorpión;Tribus;Infanteria_media;Casi_completa;400
